Genero,Especie,Ameaca
Adelpha,Adelpha atlantica,1 - Desenvolvimento residencial e comercial
Adelpha,Adelpha atlantica,1.1 - Expansão urbana 9 - Poluição
Adelpha,Adelpha atlantica,9.2 - Industrial
Adelpha,Adelpha atlantica,9.2.4 - Tipo desconhecido
Alopias,Alopias superciliosus,5 - Uso de recursos biológicos
Alopias,Alopias superciliosus,5.4 - Pesca e uso de recursos aquáticos
Alopias,Alopias superciliosus,5.4.6 - Captura indireta - larga escala
Alopias,Alopias superciliosus,5.4.6.6 - Arrasto 5 - Uso de recursos biológicos
Alopias,Alopias superciliosus,5.4 - Pesca e uso de recursos aquáticos
Alopias,Alopias superciliosus,5.4.6 - Captura indireta - larga escala
Alopias,Alopias superciliosus,5.4.6.7 - Emalhe 5 - Uso de recursos biológicos
Alopias,Alopias superciliosus,5.4 - Pesca e uso de recursos aquáticos
Alopias,Alopias superciliosus,5.4.6 - Captura indireta - larga escala
Alopias,Alopias superciliosus,5.4.6.8 - Espinhel
Alopias,Alopias vulpinus,5 - Uso de recursos biológicos
Alopias,Alopias vulpinus,5.4 - Pesca e uso de recursos aquáticos
Alopias,Alopias vulpinus,5.4.2 - Captura intencional - larga escala
Alopias,Alopias vulpinus,5.4.2.6 - Arrasto 5 - Uso de recursos biológicos
Alopias,Alopias vulpinus,5.4 - Pesca e uso de recursos aquáticos
Alopias,Alopias vulpinus,5.4.2 - Captura intencional - larga escala
Alopias,Alopias vulpinus,5.4.2.7 - Emalhe 5 - Uso de recursos biológicos
Alopias,Alopias vulpinus,5.4 - Pesca e uso de recursos aquáticos
Alopias,Alopias vulpinus,5.4.2 - Captura intencional - larga escala
Alopias,Alopias vulpinus,5.4.2.8 - Espinhel
Aburria,Aburria cujubi,1 - Desenvolvimento residencial e comercial
Aburria,Aburria cujubi,1.1 - Expansão urbana 2 - Agropecuária e Aquacultura
Aburria,Aburria cujubi,2.2 - Silvicultura
Aburria,Aburria cujubi,2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura
Aburria,Aburria cujubi,2.3 - Pecuária
Aburria,Aburria cujubi,2.3.4 - Pecuária em escala desconhecida 4 - Transportes e serviços de transmissão
