Reino,Especie,Nome_Comum,Grupo,Mes_Ano_Avaliacao,Endemica_Brasil,Consta_em_Lista_Nacional_Oficial,Bioma,Bacia_Hidrografica
Animalia,Adelpha atlantica,Borboleta,Invertebrados Terrestres,04/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ Sub-bacia Paraíba do Sul
Animalia,Alopias superciliosus,tubarão-rabudo' tubarão-raposa' tubarão-raposa-olhudo,Tubarões e Raias,11/2017,Não,Sim,Sistema Costeiro-Marinho,Não Consta
Animalia,Alopias vulpinus,tubarão-rabudo' tubarão-raposa' tubarão-saltador,Tubarões e Raias,11/2017,Não,Sim,Sistema Costeiro-Marinho,Não Consta
Animalia,Aburria cujubi,cujubi,Aves,09/2017,Não,Sim,Amazônia' Cerrado' Pantanal,Sub-bacia Araguaia Sub-bacia Foz Amazonas Sub-bacia Gurupi Sub-bacia Madeira Sub-bacia Mearim Sub-bacia Paraguai 02 Sub-bacia Paraguai 03 Sub-bacia Paraná RH1 Sub-bacia Paru Sub-bacia Tapajós Sub-bacia Tocantins Alto Sub-bacia Tocantins Baixo Sub-bacia Trombetas Sub-bacia Xingu
Animalia,Aratinga solstitialis,jandaia-amarela,Aves,08/2018,Não,Sim,Amazônia,Sub-bacia Negro
Animalia,Alectrurus tricolor,galito,Aves,10/2018,Não,Sim,Cerrado' Mata Atlântica' Pantanal,Sub-bacia Grande Sub-bacia Paraguai 01 Sub-bacia Paraguai 02 Sub-bacia Paraíba do Sul Sub-bacia Paranaíba Sub-bacia Paranapanema Sub-bacia Paraná RH1 Sub-bacia São Francisco Alto Sub-bacia São Francisco Médio Sub-bacia Tietê Sub-bacia Tocantins Alto
Animalia,Antilophia bokermanni,soldadinho-do-araripe,Aves,11/2016,Sim,Sim,Caatinga,Sub-bacia Jaguaribe
Animalia,Anodorhynchus leari,arara-azul-de-lear,Aves,11/2016,Sim,Sim,Caatinga,Sub-bacia Itapecuru-Paraguaçu Sub-bacia Litoral SE Sub-bacia São Francisco Médio Sub-bacia São Francisco Submédio
Animalia,Acherontides eleonorae,Não Consta,Invertebrados Terrestres,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ SP
Animalia,Aegla cavernicola,Não Consta,Invertebrados de Água Doce,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ SP
Animalia,Aegla leptochela,Não Consta,Invertebrados de Água Doce,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ SP
Animalia,Aegla microphthalma,Não Consta,Invertebrados de Água Doce,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ SP
Animalia,Amazoniscus leistikowi,Não Consta,Invertebrados Terrestres,05/2018,Sim,Sim,Amazônia,Sub-bacia Xingu
Animalia,Archolaemus ferreirai,Não Consta,Peixes Continentais,05/2018,Sim,Sim,Amazônia,Sub-bacia Negro
Animalia,Archolaemus santosi,Não Consta,Peixes Continentais,05/2018,Sim,Sim,Amazônia,Sub-bacia Madeira
Animalia,Arrhopalites alambariensis,Não Consta,Invertebrados Terrestres,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ SP Sub-bacia Litoral SP
Animalia,Arrhopalites amorimi,Não Consta,Invertebrados Terrestres,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ SP Sub-bacia Litoral SP
Animalia,Arrhopalites botuveraensis,Não Consta,Invertebrados Terrestres,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral SP PR SC
Animalia,Arrhopalites gnaspinii,Não Consta,Invertebrados Terrestres,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ SP Sub-bacia Litoral SP
Animalia,Arrhopalites heteroculatus,Não Consta,Invertebrados Terrestres,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ SP Sub-bacia Litoral SP
Animalia,Arrhopalites lawrencei,Não Consta,Invertebrados Terrestres,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ SP Sub-bacia Litoral SP
