Classe,Ordem
Insecta,Coleoptera
Insecta,Lepidoptera
Insecta,Ephemeroptera
Insecta,Zygoptera
Elasmobranchii,Lamniformes
Aves,Galliformes
Aves,Psittaciformes
Aves,Passeriformes
Aves,Accipitriformes
Entognatha,Symphypleona
Entognatha,Collembola
Entognatha,Entomobryomorpha
Malacostraca,Decapoda
Malacostraca,Isopoda
Actinopterygii,Gymnotiformes
Actinopterygii,Cyprinodontiformes
Actinopterygii,Siluriformes
Actinopterygii,Characiformes
Actinopterygii,Pleuronectiformes
Amphibia,Anura
Arachnida,Scorpiones
Arachnida,Araneae
Mammalia,Rodentia
Mammalia,Primates
Reptilia,Squamata
Reptilia,Squamata
