Familia,Genero
Nymphalidae,Adelpha
Alopiidae,Alopias
Cracidae,Aburria
Psittacidae,Anodorhynchus
Psittacidae,Aratinga
Tyrannidae,Alectrurus
Pipridae,Antilophia
Arrhopalitidae,Arrhopalites
Aeglidae,Aegla
Scleropactidae,Amazoniscus
Sternopygidae,Archolaemus
Furnariidae,Anabazenops
Passerellidae,Arremonops
Eleutherodactylidae,Adelophryne
Isotomidae,Archisotoma
Isotomidae,Arlea
Segestriidae,Ariadna
Aromobatidae,Anomaloglossus
Loricariidae,Ancistrus
Cricetidae,Akodon
Cracidae,Aburria
Furnariidae,Acrobatornis
Accipitridae,Amadonastur
Psittacidae,Amazona
Psittacidae,Anodorhynchus
Icteridae,Anumara
Rivulidae,Anablepsoides
Dipsadidae,Apostolepis
Nymphalidae,Actinote
Pimelodidae,Aguarunichthys
Motacillidae,Anthus
Atelidae,Alouatta
Coenagrionidae,Aceratobasis
Baetidae,Adebrotus
Lycaenidae,Arawacus
Buthidae,Ananteris
Teiidae,Ameiva
Teiidae,Ameivula
Amphisbaenidae,Amphisbaena
Loricariidae,Ancistrus
Parodontidae,Apareiodon
Andrenidae,Arhysosage
Lucanidae,Altitatiayus
Lampyridae,Amydetes
Achiridae,Achirus
