Genero,Especie,Uso
Alopias,Alopias superciliosus,1 - Alimentação humana
Alopias,Alopias superciliosus,1.7 - Pesca artesanal 1 - Alimentação humana
Alopias,Alopias superciliosus,1.8 - Pesca industrial 4 - Caça/pesca esportiva
Alopias,Alopias vulpinus,13 - Outros bens de consumo 1 - Alimentação humana
Alopias,Alopias vulpinus,1.8 - Pesca industrial 1 - Alimentação humana
Alopias,Alopias vulpinus,1.8 - Pesca industrial
Alopias,Alopias vulpinus,1.8.6 - Arrasto 1 - Alimentação humana
Alopias,Alopias vulpinus,1.8 - Pesca industrial
Alopias,Alopias vulpinus,1.8.7 - Emalhe 1 - Alimentação humana
Alopias,Alopias vulpinus,1.8 - Pesca industrial
Alopias,Alopias vulpinus,1.8.8 - Espinhel 4 - Caça/pesca esportiva
Aratinga,Aratinga solstitialis,3 - Animais de estimação/ornamentais
Anodorhynchus,Anodorhynchus leari,3 - Animais de estimação/ornamentais
Arrhopalites,Acherontides eleonorae,15 - Pesquisa
Aegla,Aegla cavernicola,15 - Pesquisa
Aegla,Aegla leptochela,15 - Pesquisa
Aegla,Aegla microphthalma,15 - Pesquisa
Arrhopalites,Arrhopalites alambariensis,15 - Pesquisa 16 - Outro
Arrhopalites,Arrhopalites amorimi,15 - Pesquisa
Arrhopalites,Arrhopalites botuveraensis,15 - Pesquisa
Arrhopalites,Arrhopalites gnaspinii,15 - Pesquisa
Arrhopalites,Arrhopalites heteroculatus,15 - Pesquisa
Arrhopalites,Arrhopalites lawrencei,15 - Pesquisa
Arrhopalites,Arrhopalites paranaensis,15 - Pesquisa
Aburria,Aburria jacutinga,12 - Vestuário acessório 1 - Alimentação humana
Amazona,Amazona pretrei,3 - Animais de estimação/ornamentais
Amazona,Amazona rhodocorytha,3 - Animais de estimação/ornamentais
Amazona,Amazona vinacea,1 - Alimentação humana
Amazona,Amazona vinacea,1.1 - Caça de subsistência 1 - Alimentação humana
Amazona,Amazona vinacea,1.2 - Caça para comércio
Amazona,Amazona vinacea,1.2.1 - Nacional/Local 4 - Caça/pesca esportiva
Anumara,Anumara forbesi,3 - Animais de estimação/ornamentais
Alouatta,Alouatta belzebul,1 - Alimentação humana
Alouatta,Alouatta belzebul,1.1 - Caça de subsistência 3 - Animais de estimação/ornamentais
Alouatta,Alouatta ululata,1 - Alimentação humana
Alouatta,Alouatta ululata,1.1 - Caça de subsistência 2 - Alimentação animal 3 - Animais de estimação/ornamentais 5 - Medicina humana ou veterinária
Ancistrus,Ancistrus cryptophthalmus,3 - Animais de estimação/ornamentais
Altitatiayus,Altitatiayus campoi,3 - Animais de estimação/ornamentais
